Отметка времени,Ваш уровень образования в области IT? ,  Какой у вас уровень знаний в IT?  ,"  Как часто вы сталкиваетесь с задачами, связанными с программированием или анализом данных?  ",  Для каких целей вы используете ИИ?  ,Как вы оцениваете простоту использования ИИ-инструментов?  ,Насколько ИИ помогает вам улучшить успеваемость?  ,Сталкивались ли вы с ошибками ИИ при решении задач?  ,Как ИИ влияет на вашу производительность?  ,Какую часть своей работы вы доверяете ИИ?  , Вы используете ИИ для подготовки к экзаменам?  ,Считаете ли вы использование ИИ честным в учебном процессе?  ,На сколько ИИ улучшает вашу способность понимать сложные темы?  ,Как вы относитесь к использованию ИИ в учебе?  ,Хотели бы вы больше интеграции ИИ в учебный процесс?  ,Считаете ли вы ИИ незаменимым для студентов IT?  ,Какова ваша общая оценка ИИ в IT-образовании?  
27.11.2024 0:54:58,А) Бакалавриат,Б) Средний,Б) Несколько раз в неделю,"А) Решение задач программирования, Б) Написание кода, Г) Написание текстов/эссе",Б) Легко,А) Сильно помогает,А) Часто,А) Сильно повышает,А) Более 75%,"А) Да, всегда",Б) Скорее да,Б) Умеренно улучшает,А) Положительно,Б) Скорее да,А) Да,А) 5 — отлично
27.11.2024 0:58:51,Г) Другое,А) Начальный,Б) Несколько раз в неделю,А) Решение задач программирования,Б) Легко,Б) Помогает частично,А) Часто,В) Не влияет,Г) Менее 25%,В) Редко,Б) Скорее да,В) Не влияет,Б) Нейтрально,Б) Скорее да,Б) Скорее да,В) 3 — удовлетворительно
27.11.2024 1:00:45,В) Курсы/самообразование,Б) Средний,Б) Несколько раз в неделю,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных, Г) Написание текстов/эссе",А) Очень легко,Б) Помогает частично,А) Часто,А) Сильно повышает,Г) Менее 25%,"А) Да, всегда","А) Да, полностью",Б) Умеренно улучшает,А) Положительно,А) Да,А) Да,А) 5 — отлично
27.11.2024 1:03:09,В) Курсы/самообразование,А) Начальный,А) Ежедневно,"В) Анализ данных, Г) Написание текстов/эссе",Б) Легко,Б) Помогает частично,А) Часто,Г) Уменьшает,Г) Менее 25%,Б) Иногда,Б) Скорее да,Б) Умеренно улучшает,Б) Нейтрально,Б) Скорее да,А) Да,Б) 4 — хорошо
27.11.2024 1:05:07,А) Бакалавриат,А) Начальный,Б) Несколько раз в неделю,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных, Г) Написание текстов/эссе",Б) Легко,А) Сильно помогает,А) Часто,Б) Повышает немного,Г) Менее 25%,"А) Да, всегда",Б) Скорее да,А) Сильно улучшает,Б) Нейтрально,А) Да,А) Да,Б) 4 — хорошо
27.11.2024 1:06:29,В) Курсы/самообразование,Б) Средний,А) Ежедневно,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных, Г) Написание текстов/эссе",Б) Легко,Б) Помогает частично,Б) Иногда,Б) Повышает немного,В) 25-50%,"А) Да, всегда","А) Да, полностью",Б) Умеренно улучшает,А) Положительно,А) Да,А) Да,А) 5 — отлично
27.11.2024 1:11:55,В) Курсы/самообразование,Б) Средний,Б) Несколько раз в неделю,А) Решение задач программирования,Б) Легко,Б) Помогает частично,Б) Иногда,Б) Повышает немного,Г) Менее 25%,Б) Иногда,В) Скорее нет,А) Сильно улучшает,Б) Нейтрально,Б) Скорее да,В) Скорее нет,Б) 4 — хорошо
27.11.2024 1:26:53,В) Курсы/самообразование,Б) Средний,Б) Несколько раз в неделю,"А) Решение задач программирования, Б) Написание кода",Б) Легко,Б) Помогает частично,Б) Иногда,Б) Повышает немного,Г) Менее 25%,В) Редко,В) Скорее нет,Б) Умеренно улучшает,Б) Нейтрально,Б) Скорее да,Г) Нет,Б) 4 — хорошо
27.11.2024 1:31:41,В) Курсы/самообразование,Б) Средний,А) Ежедневно,Г) Написание текстов/эссе,Б) Легко,Б) Помогает частично,А) Часто,Б) Повышает немного,В) 25-50%,Б) Иногда,Г) Нет,Б) Умеренно улучшает,Б) Нейтрально,Г) Нет,Г) Нет,Б) 4 — хорошо
27.11.2024 2:13:51,В) Курсы/самообразование,В) Продвинутый,А) Ежедневно,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных, Г) Написание текстов/эссе",А) Очень легко,В) Не влияет,А) Часто,В) Не влияет,Г) Менее 25%,В) Редко,"А) Да, полностью",В) Не влияет,А) Положительно,Б) Скорее да,Б) Скорее да,В) 3 — удовлетворительно
27.11.2024 5:02:07,В) Курсы/самообразование,Б) Средний,А) Ежедневно,Г) Написание текстов/эссе,Б) Легко,Б) Помогает частично,А) Часто,Б) Повышает немного,В) 25-50%,Б) Иногда,Б) Скорее да,Б) Умеренно улучшает,Б) Нейтрально,А) Да,Б) Скорее да,Б) 4 — хорошо
27.11.2024 7:06:52,В) Курсы/самообразование,А) Начальный,Б) Несколько раз в неделю,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных",Б) Легко,Б) Помогает частично,Б) Иногда,Б) Повышает немного,В) 25-50%,"А) Да, всегда","А) Да, полностью",Б) Умеренно улучшает,А) Положительно,Б) Скорее да,Б) Скорее да,А) 5 — отлично
27.11.2024 8:38:19,В) Курсы/самообразование,Б) Средний,Б) Несколько раз в неделю,В) Анализ данных,А) Очень легко,Б) Помогает частично,В) Редко,Б) Повышает немного,В) 25-50%,"А) Да, всегда",В) Скорее нет,А) Сильно улучшает,Б) Нейтрально,Б) Скорее да,Б) Скорее да,Б) 4 — хорошо
27.11.2024 8:39:06,В) Курсы/самообразование,А) Начальный,А) Ежедневно,"А) Решение задач программирования, В) Анализ данных, Г) Написание текстов/эссе",А) Очень легко,Б) Помогает частично,А) Часто,Б) Повышает немного,Г) Менее 25%,В) Редко,В) Скорее нет,А) Сильно улучшает,А) Положительно,Б) Скорее да,Б) Скорее да,В) 3 — удовлетворительно
27.11.2024 9:02:40,А) Бакалавриат,А) Начальный,А) Ежедневно,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных",Б) Легко,Б) Помогает частично,Б) Иногда,Б) Повышает немного,Г) Менее 25%,Б) Иногда,Б) Скорее да,В) Не влияет,Б) Нейтрально,Б) Скорее да,Б) Скорее да,В) 3 — удовлетворительно
27.11.2024 9:06:10,В) Курсы/самообразование,А) Начальный,Б) Несколько раз в неделю,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных, Г) Написание текстов/эссе",Б) Легко,А) Сильно помогает,Б) Иногда,Б) Повышает немного,В) 25-50%,"А) Да, всегда",В) Скорее нет,А) Сильно улучшает,Б) Нейтрально,Б) Скорее да,А) Да,А) 5 — отлично
27.11.2024 9:23:28,Г) Другое,Б) Средний,А) Ежедневно,"А) Решение задач программирования, Г) Написание текстов/эссе",В) Сложно,Б) Помогает частично,Б) Иногда,Б) Повышает немного,Г) Менее 25%,"А) Да, всегда","А) Да, полностью",А) Сильно улучшает,А) Положительно,А) Да,Б) Скорее да,А) 5 — отлично
27.11.2024 9:41:59,В) Курсы/самообразование,Б) Средний,Г) Редко,Г) Написание текстов/эссе,Б) Легко,Б) Помогает частично,Б) Иногда,Б) Повышает немного,Б) 50-75%,"А) Да, всегда",В) Скорее нет,Б) Умеренно улучшает,Б) Нейтрально,Б) Скорее да,А) Да,А) 5 — отлично
27.11.2024 10:47:31,В) Курсы/самообразование,В) Продвинутый,А) Ежедневно,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных, Г) Написание текстов/эссе",Б) Легко,А) Сильно помогает,А) Часто,Б) Повышает немного,В) 25-50%,"А) Да, всегда","А) Да, полностью",Б) Умеренно улучшает,В) Отрицательно,Г) Нет,А) Да,А) 5 — отлично
27.11.2024 15:39:37,В) Курсы/самообразование,А) Начальный,Б) Несколько раз в неделю,Г) Написание текстов/эссе,А) Очень легко,Б) Помогает частично,А) Часто,В) Не влияет,В) 25-50%,В) Редко,В) Скорее нет,Б) Умеренно улучшает,А) Положительно,,Б) Скорее да,Б) 4 — хорошо
27.11.2024 15:39:40,А) Бакалавриат,Б) Средний,Г) Редко,"А) Решение задач программирования, Б) Написание кода",А) Очень легко,А) Сильно помогает,Б) Иногда,А) Сильно повышает,Г) Менее 25%,"А) Да, всегда",В) Скорее нет,Б) Умеренно улучшает,А) Положительно,В) Скорее нет,В) Скорее нет,А) 5 — отлично
27.11.2024 15:40:51,В) Курсы/самообразование,Б) Средний,А) Ежедневно,А) Решение задач программирования,А) Очень легко,Б) Помогает частично,А) Часто,Б) Повышает немного,В) 25-50%,Г) Никогда,Б) Скорее да,Б) Умеренно улучшает,Б) Нейтрально,Б) Скорее да,Б) Скорее да,Б) 4 — хорошо
27.11.2024 15:44:28,А) Бакалавриат,Б) Средний,А) Ежедневно,В) Анализ данных,Б) Легко,Б) Помогает частично,А) Часто,Б) Повышает немного,Г) Менее 25%,Б) Иногда,Б) Скорее да,Б) Умеренно улучшает,А) Положительно,А) Да,А) Да,А) 5 — отлично
27.11.2024 15:44:49,В) Курсы/самообразование,А) Начальный,Г) Редко,Г) Написание текстов/эссе,Б) Легко,А) Сильно помогает,А) Часто,Б) Повышает немного,Г) Менее 25%,Б) Иногда,"А) Да, полностью",Б) Умеренно улучшает,Б) Нейтрально,А) Да,А) Да,А) 5 — отлично
27.11.2024 15:56:47,В) Курсы/самообразование,А) Начальный,А) Ежедневно,В) Анализ данных,Б) Легко,Б) Помогает частично,Б) Иногда,Б) Повышает немного,В) 25-50%,В) Редко,Б) Скорее да,Б) Умеренно улучшает,Б) Нейтрально,Б) Скорее да,Б) Скорее да,Б) 4 — хорошо
27.11.2024 15:57:56,В) Курсы/самообразование,А) Начальный,Б) Несколько раз в неделю,"А) Решение задач программирования, В) Анализ данных",А) Очень легко,Б) Помогает частично,Б) Иногда,Б) Повышает немного,В) 25-50%,Г) Никогда,"А) Да, полностью",Б) Умеренно улучшает,А) Положительно,Б) Скорее да,Б) Скорее да,Б) 4 — хорошо
27.11.2024 15:58:20,А) Бакалавриат,Б) Средний,А) Ежедневно,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных, Г) Написание текстов/эссе",Б) Легко,Б) Помогает частично,Б) Иногда,Б) Повышает немного,В) 25-50%,Б) Иногда,В) Скорее нет,Б) Умеренно улучшает,А) Положительно,Г) Нет,Б) Скорее да,Б) 4 — хорошо
27.11.2024 15:59:38,В) Курсы/самообразование,В) Продвинутый,А) Ежедневно,"А) Решение задач программирования, В) Анализ данных",В) Сложно,Б) Помогает частично,А) Часто,А) Сильно повышает,В) 25-50%,Б) Иногда,"А) Да, полностью",А) Сильно улучшает,Б) Нейтрально,В) Скорее нет,А) Да,В) 3 — удовлетворительно
27.11.2024 15:59:53,В) Курсы/самообразование,В) Продвинутый,А) Ежедневно,А) Решение задач программирования,А) Очень легко,Б) Помогает частично,А) Часто,Б) Повышает немного,Г) Менее 25%,В) Редко,"А) Да, полностью",А) Сильно улучшает,А) Положительно,А) Да,Б) Скорее да,А) 5 — отлично
27.11.2024 16:02:26,В) Курсы/самообразование,А) Начальный,А) Ежедневно,"В) Анализ данных, Г) Написание текстов/эссе",Б) Легко,Б) Помогает частично,В) Редко,В) Не влияет,В) 25-50%,В) Редко,В) Скорее нет,В) Не влияет,Б) Нейтрально,Б) Скорее да,В) Скорее нет,Б) 4 — хорошо
27.11.2024 16:03:15,В) Курсы/самообразование,В) Продвинутый,В) Раз в месяц,"В) Анализ данных, Г) Написание текстов/эссе",Б) Легко,А) Сильно помогает,Б) Иногда,Б) Повышает немного,В) 25-50%,Б) Иногда,В) Скорее нет,Б) Умеренно улучшает,Б) Нейтрально,А) Да,В) Скорее нет,Б) 4 — хорошо
27.11.2024 16:09:26,В) Курсы/самообразование,Б) Средний,Б) Несколько раз в неделю,"А) Решение задач программирования, Б) Написание кода",Б) Легко,Б) Помогает частично,А) Часто,Б) Повышает немного,Г) Менее 25%,Б) Иногда,В) Скорее нет,Б) Умеренно улучшает,Б) Нейтрально,В) Скорее нет,В) Скорее нет,Б) 4 — хорошо
27.11.2024 16:42:29,В) Курсы/самообразование,А) Начальный,В) Раз в месяц,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных",В) Сложно,Б) Помогает частично,Б) Иногда,Б) Повышает немного,Б) 50-75%,В) Редко,В) Скорее нет,А) Сильно улучшает,Б) Нейтрально,Б) Скорее да,Б) Скорее да,А) 5 — отлично
27.11.2024 17:03:01,В) Курсы/самообразование,А) Начальный,А) Ежедневно,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных, Г) Написание текстов/эссе",А) Очень легко,А) Сильно помогает,А) Часто,А) Сильно повышает,А) Более 75%,"А) Да, всегда","А) Да, полностью",А) Сильно улучшает,А) Положительно,А) Да,А) Да,А) 5 — отлично
27.11.2024 17:22:36,Г) Другое,Б) Средний,В) Раз в месяц,"А) Решение задач программирования, Б) Написание кода, Г) Написание текстов/эссе",Б) Легко,А) Сильно помогает,А) Часто,Б) Повышает немного,В) 25-50%,"А) Да, всегда",Б) Скорее да,Б) Умеренно улучшает,А) Положительно,Б) Скорее да,Б) Скорее да,А) 5 — отлично
27.11.2024 17:36:29,А) Бакалавриат,Б) Средний,А) Ежедневно,"А) Решение задач программирования, Б) Написание кода, Г) Написание текстов/эссе",А) Очень легко,Б) Помогает частично,А) Часто,Б) Повышает немного,В) 25-50%,Г) Никогда,Б) Скорее да,Б) Умеренно улучшает,Б) Нейтрально,В) Скорее нет,В) Скорее нет,В) 3 — удовлетворительно
27.11.2024 18:00:56,В) Курсы/самообразование,Б) Средний,Б) Несколько раз в неделю,"Б) Написание кода, В) Анализ данных",Б) Легко,Б) Помогает частично,Б) Иногда,Б) Повышает немного,В) 25-50%,"А) Да, всегда",Б) Скорее да,Б) Умеренно улучшает,А) Положительно,В) Скорее нет,В) Скорее нет,В) 3 — удовлетворительно
27.11.2024 19:24:09,А) Бакалавриат,А) Начальный,А) Ежедневно,"А) Решение задач программирования, Б) Написание кода, В) Анализ данных, Г) Написание текстов/эссе",Б) Легко,А) Сильно помогает,Б) Иногда,Б) Повышает немного,А) Более 75%,"А) Да, всегда",В) Скорее нет,Б) Умеренно улучшает,В) Отрицательно,В) Скорее нет,В) Скорее нет,В) 3 — удовлетворительно
27.11.2024 20:09:56,В) Курсы/самообразование,А) Начальный,Г) Редко,"А) Решение задач программирования, Б) Написание кода, Г) Написание текстов/эссе",А) Очень легко,А) Сильно помогает,Б) Иногда,Г) Уменьшает,Б) 50-75%,"А) Да, всегда",Б) Скорее да,В) Не влияет,Б) Нейтрально,Б) Скорее да,Б) Скорее да,Б) 4 — хорошо
27.11.2024 22:07:33,А) Бакалавриат,А) Начальный,А) Ежедневно,"В) Анализ данных, Г) Написание текстов/эссе",А) Очень легко,Б) Помогает частично,А) Часто,Б) Повышает немного,Г) Менее 25%,В) Редко,Б) Скорее да,Б) Умеренно улучшает,Б) Нейтрально,Б) Скорее да,Б) Скорее да,Б) 4 — хорошо
27.11.2024 22:59:51,В) Курсы/самообразование,А) Начальный,Б) Несколько раз в неделю,Б) Написание кода,А) Очень легко,Б) Помогает частично,Б) Иногда,Б) Повышает немного,Г) Менее 25%,Б) Иногда,Б) Скорее да,А) Сильно улучшает,А) Положительно,В) Скорее нет,Б) Скорее да,Б) 4 — хорошо